day,2018,2019,2020,2021
11월 15일,17189 ,18055 ,20434 ,
11월 16일,17006 ,16844 ,19980 ,
11월 19일,16624 ,18653 ,19951 ,
11월 20일,17509 ,18381 ,19689 ,
11월 21일,17490 ,18307 ,18153 ,
11월 22일,17466 ,18184 ,19872 ,
11월 23일,17036 ,17283 ,19437 ,
11월 26일,14222 ,18411 ,19237 ,
11월 27일,17693 ,18334 ,18953 ,
11월 28일,17623 ,18243 ,17308 ,
11월 29일,17778 ,18177 ,19587 ,
11월 30일,17600 ,14336 ,19808 ,
12월 03일,16585 ,18660 ,19970 ,
12월 04일,18034 ,18660 ,19521 ,
12월 05일,17859 ,18707 ,14312 ,
12월 06일,17848 ,18437 ,19846 ,
12월 10일,17436 ,16570 ,19690 ,
12월 11일,16589 ,18749 ,19095 ,
12월 12일,17881 ,18651 ,18617 ,
12월 13일,17687 ,18513 ,15434 ,
12월 14일,17332 ,18048 ,19304 ,
12월 17일,16972 ,17735 ,18675 ,
12월 18일,15751 ,18572 ,18284 ,
12월 19일,17340 ,18536 ,18179 ,
12월 20일,17053 ,18429 ,16251 ,
12월 21일,16854 ,17766 ,19339 ,
12월 24일,16136 ,17630 ,19815 ,
12월 26일,15899 ,18566 ,19667 ,
12월 27일,16999 ,18516 ,15171 ,
12월 28일,17296 ,18089 ,20657 ,
12월 31일,17239 ,18155 ,21026 ,
